"species_1","cluster_1","cluster_1_accession","species_2","cluster_2","cluster_2_accession","dist","similarity"
"marmoset","Inh GAD1 NPSR1","CS201912132_17","mouse","Pvalb Reln","CS202002013_54",24.6433173757932,0.288871023006685
"marmoset","Inh SST LTBP1","CS201912132_37","mouse","Pvalb Reln","CS202002013_54",24.6793610378568,0.2877503170016
"marmoset","Inh VIP CIT","CS201912132_24","mouse","Pvalb Reln","CS202002013_54",24.7220957459095,0.286421566225507
"marmoset","Inh SST LOC103788138","CS201912132_29","mouse","Pvalb Reln","CS202002013_54",24.7364191231409,0.285976209290132
"marmoset","Inh LAMP5 TRPC6","CS201912132_4","mouse","Pvalb Reln","CS202002013_54",24.8064899947009,0.283797494863159
"marmoset","Inh GAD1 LOC108589948","CS201912132_14","mouse","Pvalb Reln","CS202002013_54",24.8926439924808,0.281118707604981
"marmoset","Inh VIP LOC108588071","CS201912132_22","mouse","Pvalb Reln","CS202002013_54",25.0146872944555,0.277324013792732
"marmoset","Inh VIP VAT1L","CS201912132_23","mouse","Pvalb Reln","CS202002013_54",25.1593992172248,0.272824484289629
"marmoset","Inh VIP THSD7B","CS201912132_15","mouse","Pvalb Reln","CS202002013_54",26.0391376634725,0.245470766516035
"marmoset","Inh VIP LOC108588539","CS201912132_25","mouse","Pvalb Reln","CS202002013_54",26.2274166841087,0.239616604730634
"marmoset","Inh SNCG CNTN4","CS201912132_11","mouse","Pvalb Reln","CS202002013_54",26.3190439284676,0.236767637752715
"marmoset","Inh LAMP5 WWP1","CS201912132_5","mouse","Pvalb Reln","CS202002013_54",26.7315202254468,0.223942507438143
"marmoset","Inh PAX6 HMBOX1","CS201912132_7","mouse","Pvalb Reln","CS202002013_54",26.7462369419541,0.223484920400073
"marmoset","Inh VIP CYP19A1","CS201912132_10","mouse","Pvalb Reln","CS202002013_54",26.9686964820065,0.216567983325661
"marmoset","Inh GAD1 PCP4","CS201912132_13","mouse","Pvalb Reln","CS202002013_54",27.0452284137216,0.214188375079901
"marmoset","Inh PAX6 CDH4","CS201912132_12","mouse","Pvalb Reln","CS202002013_54",27.1552136634495,0.21076860242685
"marmoset","Inh LAMP5 LOC108591196","CS201912132_6","mouse","Pvalb Reln","CS202002013_54",27.585139091336,0.197400926081388
"marmoset","Inh LAMP5 COL5A2","CS201912132_2","mouse","Pvalb Reln","CS202002013_54",27.8935697394456,0.187810888341079
"marmoset","Inh SNCG PLPPR1","CS201912132_8","mouse","Pvalb Reln","CS202002013_54",27.9776911728703,0.185195299630111
